review_id,fav_heroe,fav_villain,fav_film,fav_soundtrack,fav_spaceship,fav_planet,fav_robot
0,Anakin Skywalker,Darth Maul,Episode IV - A New Hope,Accross the Stars,Naboo Starfighter,Tatooine,R2-D2
1,Anakin Skywalker,Darth Maul,Episode IV - A New Hope,The Throne Room,Naboo Starfighter,Tatooine,Battle Droid
2,Luke Skywalker,Count Dooku,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Endor,R2-D2
3,Anakin Skywalker,Wilhuff Tarkin,Episode VI - Return of the Jedi,The Throne Room,Millennium Falcon,Tatooine,R2-D2
4,Yoda,Palpatine,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Naboo,C-3PO
5,Anakin Skywalker,Wilhuff Tarkin,Episode I - The Phantom Menace,Imperial March,Millennium Falcon,Naboo,R2-D2
6,Han Solo,Darth Maul,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
7,Luke Skywalker,Darth Maul,Episode III - Revenge of the Sith,Star Wars (Main Theme),Millennium Falcon,Tatooine,C-3PO
8,Yoda,Palpatine,Episode IV - A New Hope,Star Wars (Main Theme),Naboo Starfighter,Tatooine,R2-D2
9,Obi-Wan Kenobi,Darth Vader,Episode V - The Empire Strikes Back,Anakin vs. Obi-Wan,Millennium Falcon,Naboo,C-3PO
10,Luke Skywalker,Darth Vader,Episode I - The Phantom Menace,Imperial March,TIE Fighter,Tatooine,R2-D2
11,Luke Skywalker,Darth Vader,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Tatooine,R2-D2
12,Obi-Wan Kenobi,Darth Maul,Episode I - The Phantom Menace,The Throne Room,Naboo Starfighter,Naboo,R2-D2
13,Anakin Skywalker,Darth Maul,Episode VI - Return of the Jedi,Star Wars (Main Theme),Millennium Falcon,Dagobah,C-3PO
14,Chewbacca,General Grievous,Episode I - The Phantom Menace,Imperial March,TIE Fighter,Tatooine,Droideka
15,Anakin Skywalker,Darth Vader,Episode I - The Phantom Menace,Imperial March,Millennium Falcon,Alderaan,R2-D2
16,Han Solo,Count Dooku,Episode V - The Empire Strikes Back,Star Wars (Main Theme),TIE Fighter,Endor,R2-D2
17,Anakin Skywalker,General Grievous,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Tatooine,R2-D2
18,Obi-Wan Kenobi,Wilhuff Tarkin,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Tatooine,R2-D2
19,Chewbacca,Count Dooku,Episode V - The Empire Strikes Back,Star Wars (Main Theme),TIE Fighter,Endor,C-3PO
20,Yoda,Wilhuff Tarkin,Episode VI - Return of the Jedi,Star Wars (Main Theme),Naboo Starfighter,Naboo,R2-D2
21,Anakin Skywalker,Palpatine,Episode V - The Empire Strikes Back,The Throne Room,Millennium Falcon,Naboo,C-3PO
22,Anakin Skywalker,Darth Vader,Episode III - Revenge of the Sith,Imperial March,Millennium Falcon,Naboo,R2-D2
23,Leia,Palpatine,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Tatooine,C-3PO
24,Anakin Skywalker,Darth Maul,Episode V - The Empire Strikes Back,Imperial March,Naboo Starfighter,Naboo,R2-D2
25,Yoda,Wilhuff Tarkin,Episode VI - Return of the Jedi,Star Wars (Main Theme),Millennium Falcon,Tatooine,R2-D2
26,Han Solo,Darth Vader,Episode I - The Phantom Menace,Imperial March,Millennium Falcon,Endor,C-3PO
27,Obi-Wan Kenobi,Darth Maul,Episode I - The Phantom Menace,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
28,Yoda,Wilhuff Tarkin,Episode IV - A New Hope,The Throne Room,Millennium Falcon,Tatooine,Droideka
29,Leia,Palpatine,Episode VI - Return of the Jedi,Imperial March,Millennium Falcon,Naboo,R2-D2
30,Luke Skywalker,General Grievous,Episode VI - Return of the Jedi,Star Wars (Main Theme),Millennium Falcon,Endor,C-3PO
31,Yoda,Palpatine,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Naboo,Battle Droid
32,Obi-Wan Kenobi,Darth Maul,Episode II - Attack of the Clones,Star Wars (Main Theme),TIE Fighter,Endor,R2-D2
33,Han Solo,Palpatine,Episode II - Attack of the Clones,Star Wars (Main Theme),Naboo Starfighter,Dagobah,Battle Droid
34,Han Solo,Darth Maul,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
35,Yoda,Darth Vader,Episode V - The Empire Strikes Back,Accross the Stars,Millennium Falcon,Naboo,R2-D2
36,Obi-Wan Kenobi,Palpatine,Episode IV - A New Hope,Imperial March,Millennium Falcon,Endor,C-3PO
37,Luke Skywalker,Count Dooku,Episode V - The Empire Strikes Back,The Throne Room,Naboo Starfighter,Tatooine,C-3PO
38,Leia,Palpatine,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Tatooine,C-3PO
39,Han Solo,Darth Vader,Episode VI - Return of the Jedi,Imperial March,TIE Fighter,Naboo,R2-D2
40,Leia,General Grievous,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Alderaan,R2-D2
41,Han Solo,Palpatine,Episode II - Attack of the Clones,The Throne Room,Millennium Falcon,Tatooine,R2-D2
42,Leia,Count Dooku,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Tatooine,R2-D2
43,Yoda,Darth Vader,Episode VI - Return of the Jedi,Imperial March,Naboo Starfighter,Naboo,C-3PO
44,Chewbacca,General Grievous,Episode III - Revenge of the Sith,Imperial March,Millennium Falcon,Naboo,R2-D2
45,Leia,General Grievous,Episode V - The Empire Strikes Back,The Throne Room,Millennium Falcon,Tatooine,C-3PO
46,Luke Skywalker,General Grievous,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
47,Anakin Skywalker,Darth Vader,Episode VI - Return of the Jedi,Imperial March,TIE Fighter,Endor,R2-D2
48,Leia,Palpatine,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Death Star,Naboo,R2-D2
49,Obi-Wan Kenobi,Palpatine,Episode VI - Return of the Jedi,Star Wars (Main Theme),TIE Fighter,Tatooine,C-3PO
50,Yoda,Count Dooku,Episode V - The Empire Strikes Back,Star Wars (Main Theme),TIE Fighter,Tatooine,C-3PO
51,Yoda,Count Dooku,Episode IV - A New Hope,Imperial March,Naboo Starfighter,Tatooine,R2-D2
52,Han Solo,Darth Maul,Episode I - The Phantom Menace,Imperial March,Millennium Falcon,Endor,R2-D2
53,Obi-Wan Kenobi,Palpatine,Episode VI - Return of the Jedi,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
54,Luke Skywalker,Count Dooku,Episode IV - A New Hope,Anakin vs. Obi-Wan,Millennium Falcon,Tatooine,R2-D2
55,Luke Skywalker,Darth Vader,Episode VI - Return of the Jedi,Imperial March,Naboo Starfighter,Naboo,R2-D2
56,Anakin Skywalker,Palpatine,Episode V - The Empire Strikes Back,The Throne Room,Millennium Falcon,Naboo,C-3PO
57,Chewbacca,Darth Maul,Episode IV - A New Hope,Star Wars (Main Theme),Naboo Starfighter,Dagobah,R2-D2
58,Han Solo,Palpatine,Episode II - Attack of the Clones,The Throne Room,Naboo Starfighter,Naboo,C-3PO
59,Luke Skywalker,Darth Maul,Episode III - Revenge of the Sith,Imperial March,Millennium Falcon,Alderaan,C-3PO
60,Obi-Wan Kenobi,Darth Vader,Episode VI - Return of the Jedi,Imperial March,Naboo Starfighter,Alderaan,Battle Droid
61,Anakin Skywalker,Wilhuff Tarkin,Episode VI - Return of the Jedi,Imperial March,Naboo Starfighter,Naboo,R2-D2
62,Han Solo,Darth Maul,Episode IV - A New Hope,Imperial March,Millennium Falcon,Dagobah,C-3PO
63,Anakin Skywalker,Darth Vader,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Tatooine,C-3PO
64,Luke Skywalker,Darth Vader,Episode III - Revenge of the Sith,Star Wars (Main Theme),Millennium Falcon,Naboo,C-3PO
65,Obi-Wan Kenobi,Darth Vader,Episode V - The Empire Strikes Back,Star Wars (Main Theme),TIE Fighter,Dagobah,R2-D2
66,Han Solo,Wilhuff Tarkin,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Endor,R2-D2
67,Leia,Palpatine,Episode II - Attack of the Clones,Imperial March,TIE Fighter,Tatooine,Battle Droid
68,Yoda,Darth Vader,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Naboo,C-3PO
69,Han Solo,Darth Maul,Episode V - The Empire Strikes Back,The Throne Room,Millennium Falcon,Naboo,C-3PO
70,Qui-Gon Jinn,Darth Vader,Episode I - The Phantom Menace,Star Wars (Main Theme),Millennium Falcon,Tatooine,C-3PO
71,Qui-Gon Jinn,Darth Maul,Episode VI - Return of the Jedi,Star Wars (Main Theme),Millennium Falcon,Naboo,C-3PO
72,Han Solo,Count Dooku,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
73,Obi-Wan Kenobi,Darth Vader,Episode IV - A New Hope,Imperial March,Millennium Falcon,Dagobah,R2-D2
74,Chewbacca,Darth Maul,Episode V - The Empire Strikes Back,Imperial March,Naboo Starfighter,Dagobah,R2-D2
75,Obi-Wan Kenobi,General Grievous,Episode I - The Phantom Menace,Anakin vs. Obi-Wan,Millennium Falcon,Tatooine,C-3PO
76,Qui-Gon Jinn,Palpatine,Episode IV - A New Hope,Imperial March,Millennium Falcon,Endor,C-3PO
77,Chewbacca,Wilhuff Tarkin,Episode I - The Phantom Menace,Star Wars (Main Theme),TIE Fighter,Naboo,R2-D2
78,Leia,Darth Vader,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Tatooine,R2-D2
79,Anakin Skywalker,Darth Vader,Episode VI - Return of the Jedi,Imperial March,Millennium Falcon,Dagobah,R2-D2
80,Anakin Skywalker,Darth Maul,Episode I - The Phantom Menace,Star Wars (Main Theme),Millennium Falcon,Naboo,R2-D2
81,Obi-Wan Kenobi,Darth Maul,Episode IV - A New Hope,Star Wars (Main Theme),Millennium Falcon,Tatooine,C-3PO
82,Obi-Wan Kenobi,Palpatine,Episode I - The Phantom Menace,Star Wars (Main Theme),Millennium Falcon,Naboo,Battle Droid
83,Luke Skywalker,Wilhuff Tarkin,Episode III - Revenge of the Sith,Accross the Stars,TIE Fighter,Naboo,C-3PO
84,Obi-Wan Kenobi,Count Dooku,Episode III - Revenge of the Sith,Imperial March,Millennium Falcon,Tatooine,R2-D2
85,Chewbacca,Darth Vader,Episode VI - Return of the Jedi,Imperial March,Millennium Falcon,Tatooine,Battle Droid
86,Luke Skywalker,Palpatine,Episode VI - Return of the Jedi,Star Wars (Main Theme),Naboo Starfighter,Naboo,R2-D2
87,Anakin Skywalker,Wilhuff Tarkin,Episode I - The Phantom Menace,Imperial March,TIE Fighter,Naboo,R2-D2
88,Anakin Skywalker,Darth Vader,Episode I - The Phantom Menace,Imperial March,Millennium Falcon,Naboo,C-3PO
89,Luke Skywalker,Darth Vader,Episode V - The Empire Strikes Back,Anakin vs. Obi-Wan,Naboo Starfighter,Tatooine,Battle Droid
90,Anakin Skywalker,Darth Vader,Episode V - The Empire Strikes Back,Imperial March,Millennium Falcon,Tatooine,C-3PO
91,Chewbacca,Darth Maul,Episode IV - A New Hope,Imperial March,Millennium Falcon,Tatooine,C-3PO
92,Anakin Skywalker,Palpatine,Episode VI - Return of the Jedi,Imperial March,Naboo Starfighter,Naboo,C-3PO
93,Han Solo,General Grievous,Episode V - The Empire Strikes Back,Star Wars (Main Theme),Millennium Falcon,Dagobah,C-3PO
